id,lang,entry_type,is_active,top_button_order,category_lvl1,category_icon,sub_button_order,category_lvl2,faq_title,button_label,question,short_answer,answer,user_intent,keywords,priority,channels,related_links
FAQ019,en,faq,TRUE,6,Integrations,◆,2,CompTox,How is SLE in CompTox?,How is SLE in CompTox?,How is NORMAN‑SLE integrated into the CompTox Chemicals Dashboard?,Lists are uploaded as DSSTox/DTXSID-based chemical lists; coverage may be incomplete and updates can lag behind SLE/Zenodo.,"NORMAN‑SLE lists are integrated into CompTox through the ‘Chemical Lists’ functionality by uploading DTXSIDs linked to each list. Because CompTox updates are less frequent and some SLE substances may not have DTXSIDs, the CompTox versions can be incomplete and may lag behind the latest SLE/Zenodo versions.",explain,CompTox; DSSTox; DTXSID; chemical lists; incomplete; update lag,high,CompTox,https://comptox.epa.gov/dashboard/chemical-lists?search=NORMAN
FAQ020,en,faq,TRUE,6,Integrations,◆,3,Version differences,Why versions differ?,Why versions differ?,"Why do I sometimes see different versions of a list on Zenodo, PubChem, and CompTox?","Different platforms have different update cycles (PubChem can update quickly; CompTox is less frequent), so versions can diverge.","NORMAN‑SLE lists are archived on Zenodo and then integrated into downstream resources. Because each platform has its own release cycle (e.g., PubChem updates can be frequent, while CompTox releases are less frequent), the publicly visible versions can differ, which can cause confusion. For reproducibility, rely on the Zenodo DOI/version you used.",troubleshoot,version mismatch; release cycle; Zenodo; PubChem; CompTox,high,Zenodo; PubChem; CompTox,https://zenodo.org/communities/norman-sle/;https://pubchem.ncbi.nlm.nih.gov/source/23819;https://comptox.epa.gov/dashboard/chemical-lists?search=NORMAN
FAQ021,en,faq,TRUE,7,Contributing lists,✚,1,Submission,How can I submit a list?,How can I submit a list?,How can I submit a new suspect list to NORMAN‑SLE?,"Prepare your list with key identifiers and references, then contact the NORMAN-SLE contact points (typically via email).","NORMAN‑SLE welcomes new list submissions and feedback. Submissions are typically made by sending the list (often CSV/XLSX) to the NORMAN‑SLE contact points. Provide clear references, a description, and as many reliable chemical identifiers as possible to support curation and FAIRification.",how_to,submit; contribute; email; contact points; new list; references; identifiers,high,Website,https://www.norman-network.com/nds/SLE/
FAQ022,en,faq,TRUE,7,Contributing lists,✚,2,Required info,What should I include?,What should I include?,What should I include in a suspect list submission to make it easier to integrate?,"Include names, structural identifiers (SMILES/InChI/InChIKey), and any database IDs (CAS, DTXSID, CID), plus references and metadata.","At minimum, include at least one chemical name and, where possible, structural identifiers (SMILES and InChI/InChIKey). If available, also include database identifiers (CAS RN, PubChem CID, DSSTox/DTXSID, etc.), molecular formula, and neutral monoisotopic mass. Provide references and context (why the list exists, scope, and provenance) to support reuse and correct mapping.",how_to,submission checklist; SMILES; InChIKey; CAS; DTXSID; CID; formula; mass; references,high,Submission,https://www.norman-network.com/nds/SLE/
FAQ023,en,faq,TRUE,7,Contributing lists,✚,3,Curation,What happens after submission?,What happens after submission?,What happens after I submit a suspect list to NORMAN‑SLE?,"The list is curated and standardized where possible, assigned an S‑number and code, then published and archived on Zenodo with a DOI.","After submission, the list is processed depending on its size and content. NORMAN‑SLE assigns a sequential S‑number and an abbreviation following conventions. Where possible, missing values are filled using curation workflows and external services, then the list is published on the website and archived on Zenodo with a DOI and versioning.",process,after submission; curation; standardization; S-number; abbreviation; Zenodo; DOI,medium,Website; Zenodo,https://www.norman-network.com/nds/SLE/;https://zenodo.org/communities/norman-sle/
FAQ024,en,faq,TRUE,7,Contributing lists,✚,4,Curation philosophy,How strict is curation?,How strict is curation?,How strict is curation in NORMAN‑SLE?,"Best efforts are made to map identifiers correctly, but lists often reflect the data 'as provided' and resources for deep curation are limited.","NORMAN‑SLE performs curation to improve identifiers and fill missing values where feasible, but it generally aims to represent submissions as provided. Extensive curation comparable to large national/agency databases may not always be possible. Versioning on Zenodo helps track improvements over time.",expectations,curation; as-is; quality control; Zenodo versioning,medium,Zenodo; Website,https://zenodo.org/communities/norman-sle/
FAQ025,en,faq,TRUE,9,Troubleshooting,⚙,1,Missing InChIKeys,No InChIKey file?,No InChIKey file?,Why does a suspect list sometimes have no InChIKey download link?,"If many entries lack defined structures, InChIKeys cannot be generated, so no InChIKey-only file is provided.","InChIKeys can only be generated for defined chemical structures. If a list contains mostly formula-only entries, mixtures, or undefined structures (e.g., certain surfactant or UVCB-related content), an InChIKey-only file may not be available.",troubleshoot,missing InChIKey; undefined structures; mixtures; UVCB; surfactants,high,Website; Zenodo,https://www.norman-network.com/nds/SLE/
FAQ026,en,faq,TRUE,9,Troubleshooting,⚙,2,MS-ready,What is MS-ready?,What is MS-ready?,What does 'MS‑ready' mean and why does it matter?,MS‑ready means structures are standardized for mass-spectral screening; it helps avoid mistakes like screening salts/polymers directly.,"‘MS‑ready’ refers to representing chemicals in a standardized form suitable for mass-spectral screening (e.g., neutral forms). This can reduce trivial screening errors such as searching exact masses of salts or polymers. NORMAN SusDat provides MS‑ready content, but handling original vs MS‑ready forms can be challenging for automated mapping.",explain,MS-ready; standardization; screening errors; salts; polymers; SusDat,medium,NDS; SusDat,https://www.norman-network.com/nds/susdat/
FAQ027,en,faq,TRUE,9,Troubleshooting,⚙,3,Corrections,How are errors fixed?,How are errors fixed?,"If I find an error in a list (e.g., wrong SMILES or CAS), how is it fixed?",Report it to the maintainers; fixes are released as new Zenodo versions (often minor updates) and then propagate to downstream resources.,"If issues are found (e.g., incorrect SMILES, CAS numbers, or mismatched identifiers), they can be corrected and released as a new Zenodo version of the list (often as a minor update). Updated versions may later propagate to PubChem/CompTox depending on their update cycles.",how_to,report error; fix; new version; minor update; Zenodo; propagate,high,Zenodo; Website,https://www.norman-network.com/nds/SLE/;https://zenodo.org/communities/norman-sle/
FAQ028,en,faq,TRUE,10,About the project,ⓘ,1,Growth,How big is SLE?,How big is SLE?,How large is NORMAN‑SLE (lists and unique compounds)?,"As of September/October 2025, NORMAN‑SLE includes 133 lists totaling 133,573 unique compounds (numbers can change with updates).","NORMAN‑SLE has grown substantially over time. In the 2022–2025 period, it expanded to 133 suspect list collections from over 100 contributors, totaling 133,573 unique compounds (snapshot as of around Sept/Oct 2025 in the update manuscript).",stats,how many lists; unique compounds; growth; contributors,medium,General,https://zenodo.org/communities/norman-sle/
FAQ029,en,faq,TRUE,10,About the project,ⓘ,2,Impact metrics,"Views, downloads, citations","Views, downloads, citations","What do views, downloads, and citations mean for NORMAN‑SLE lists?","Views indicate interest, downloads indicate reuse, and citations indicate recognition in published work.","Usage metrics from Zenodo are often used to estimate impact: views reflect how often users look at list records, downloads reflect how often lists are reused in workflows, and citations reflect formal recognition in research outputs. These metrics help quantify adoption and reuse.",explain,Zenodo; views; downloads; citations; impact,low,Zenodo,https://zenodo.org/communities/norman-sle/
FAQ030,en,faq,TRUE,10,About the project,ⓘ,3,KPIs,RES & RI,RES & RI,What are the Reuse Efficiency Score (RES) and Recognition Index (RI)?,RES = downloads/views; RI = citations/downloads. They help compare short-term reuse and recognition across lists.,"Two example KPIs sometimes used for list impact are: RES, the Reuse Efficiency Score (downloads divided by views), which indicates how effectively interest translates into reuse; and RI, the Recognition Index (citations divided by downloads), which approximates how often reused data leads to visible research outputs.",explain,RES; RI; KPI; downloads/views; citations/downloads,low,Zenodo,https://zenodo.org/communities/norman-sle/
FAQ031,en,faq,TRUE,3,Access & links,🔗,1,Where to access,Where can I access SLE?,Where can I access SLE?,Where can I access NORMAN‑SLE data?,You can access it via the NORMAN‑SLE website and via Zenodo; it’s also available in PubChem and partially in CompTox.,"NORMAN‑SLE lists are accessible through the NORMAN‑SLE website and are archived on the Zenodo NORMAN‑SLE community (with DOIs and versioning). NORMAN‑SLE content is also available as a data source in PubChem (including a browsable classification tree), and many lists are available as chemical lists in the CompTox Chemicals Dashboard.",how_to,access; website; Zenodo; PubChem; CompTox,high,Website; Zenodo; PubChem; CompTox,https://www.norman-network.com/nds/SLE/;https://zenodo.org/communities/norman-sle/;https://pubchem.ncbi.nlm.nih.gov/source/23819;https://comptox.epa.gov/dashboard/chemical-lists?search=NORMAN
FAQ032,en,faq,TRUE,3,Access & links,🔗,2,Open source,Is the code open?,Is the code open?,Is the NORMAN‑SLE code and integration workflow available?,Yes. Code and documentation for NORMAN‑SLE and the PubChem integration are available on GitLab.,"The software and workflows supporting NORMAN‑SLE and its integration (e.g., with PubChem) are available as open code and documentation on GitLab, enabling transparency and reuse of the pipeline.",developer,code; open source; GitLab; integration workflow,medium,GitLab,https://gitlab.com/uniluxembourg/lcsb/eci/norman-sle;https://gitlab.com/uniluxembourg/lcsb/eci/pubchem
FAQ033,en,faq,TRUE,1,Getting started,▶,1,Overview,Does it replace PubChem?,Does it replace PubChem?,Is NORMAN‑SLE meant to replace PubChem or CompTox?,"No. It is a specialized, complementary service focused on suspect screening lists and expert context for environmental science.","NORMAN‑SLE is not intended to replace major chemical databases like PubChem or CompTox. Instead, it offers a specialized, complementary service for the environmental science community by collecting suspect lists and expert references, and by facilitating their integration into larger resources.",clarify,replace; PubChem; CompTox; complementary; specialized,medium,General,https://www.norman-network.com/nds/SLE/
FAQ034,en,faq,TRUE,2,Using the website,◼,4,List IDs,What are S-numbers?,What are S-numbers?,"What are S‑numbers (e.g., S100) and list codes in NORMAN‑SLE?",Each list receives a sequential S-number and a short code/abbreviation for consistent reference and integration.,"Each suspect list in NORMAN‑SLE is assigned a sequential S‑number (starting with S0 for the merged collection) and an abbreviation/code. These identifiers support consistent referencing, recognition, and integration across platforms and workflows.",explain,S-number; list code; abbreviation; S0; SusDat,high,Website; Zenodo; PubChem,https://www.norman-network.com/nds/SLE/
FAQ035,en,faq,TRUE,4,Data & identifiers,●,4,Synonyms,Are synonyms included?,Are synonyms included?,Do NORMAN‑SLE lists provide synonyms?,"Often yes, but coverage varies; a curated synonym effort also supports PubChem enrichment for some newly deposited structures.","Synonyms may be included in suspect lists depending on the source and available metadata. In addition, curated synonym files have been used to enrich certain PubChem records for newly deposited structures where synonyms were missing. Always check the specific list metadata.",explain,synonyms; metadata; PubChem enrichment,low,List files; PubChem,https://pubchem.ncbi.nlm.nih.gov/source/23819
FAQ036,en,faq,TRUE,6,Integrations,◆,4,Programmatic access,Can I access programmatically?,Can I access programmatically?,Can I access NORMAN‑SLE information programmatically?,"Yes—many resources (e.g., PubChem Classification Browser) provide programmatic access; lists are also downloadable as CSV/XLSX.","NORMAN‑SLE list files are downloadable (CSV/XLSX) for use in scripts and pipelines. In addition, downstream resources such as PubChem’s Classification Browser can be accessed programmatically, which can help automate retrieval and analysis of list content.",developer,API; programmatic access; PubChem classification browser; automation,medium,PubChem; Downloads,https://pubchem.ncbi.nlm.nih.gov/classification/#hid=101
FAQ037,en,faq,TRUE,9,Troubleshooting,⚙,4,CompTox coverage,Why missing in CompTox?,Why missing in CompTox?,Why is a chemical or whole list missing or incomplete in CompTox?,CompTox list coverage depends on available DTXSIDs and CompTox update cycles; entries without DTXSIDs will not appear.,"CompTox integration relies on DSSTox identifiers (DTXSIDs). If a chemical has no DTXSID, it cannot be included in the CompTox list. Additionally, CompTox updates may lag, so newly added or updated SLE lists may take weeks/months to appear.",troubleshoot,CompTox; DTXSID missing; incomplete mapping; update lag,high,CompTox,https://comptox.epa.gov/dashboard/chemical-lists?search=NORMAN
FAQ038,en,faq,TRUE,9,Troubleshooting,⚙,5,PubChem indexing,Why not visible in PubChem yet?,Why not visible in PubChem yet?,I see a new version on Zenodo but not in PubChem yet. Why?,PubChem updates can take hours to days; newly added structures can take longer to fully index and appear in searches.,"After updated depositions, PubChem content can become visible within hours to days, but newly added structures may take longer to fully index. If you need a stable reference immediately, rely on the Zenodo DOI/version while waiting for downstream propagation.",troubleshoot,PubChem delay; indexing; Zenodo version; propagation,medium,PubChem; Zenodo,https://pubchem.ncbi.nlm.nih.gov/source/23819;https://zenodo.org/communities/norman-sle/
FAQ039,en,faq,TRUE,7,Contributing lists,✚,5,Data consistency,Avoid common submission mistakes,Avoid common submission mistakes,What common data issues should I avoid when preparing a suspect list?,"Avoid misaligned columns (sorting), inconsistent identifiers, and missing row indices; provide consistent, validated mappings.","Common issues include column misalignment from sorting/merging, mismatched names vs identifiers, and inconsistent formatting. Include a stable row index, keep identifiers aligned with the correct compound, and validate key identifiers where possible before submission to reduce curation effort.",best_practice,submission mistakes; sorting; misalignment; validation; row index,medium,Submission,https://www.norman-network.com/nds/SLE/
FAQ040,en,faq,TRUE,10,About the project,ⓘ,4,History,When did it start?,When did it start?,When was NORMAN‑SLE initiated and when did Zenodo archiving start?,NORMAN‑SLE was initiated in 2015; Zenodo archiving with DOIs and versioning started in 2019.,"NORMAN initiated the NORMAN‑SLE in 2015 to facilitate open exchange of suspect lists. Since 2019, lists have been archived on Zenodo, which enables DOIs, versioning and better integration with external resources.",history,started 2015; Zenodo 2019; history,low,General,https://www.norman-network.com/nds/SLE/;https://zenodo.org/communities/norman-sle/
FAQ041,en,faq,TRUE,6,Integrations,◆,5,Why integrate,Why integrate with other DBs?,Why integrate with other DBs?,Why is integrating NORMAN‑SLE into PubChem and CompTox important?,"It increases visibility, supports interoperability, and connects suspect lists to broader chemical, toxicology and annotation content.","Integration into large databases boosts discoverability and reuse. PubChem provides wide visibility and links suspect lists to compound records and annotations, while CompTox connects lists to toxicology-relevant identifiers and content. Together they support cross-platform workflows.",explain,integration benefits; visibility; interoperability; annotations; toxicology,medium,PubChem; CompTox,https://pubchem.ncbi.nlm.nih.gov/source/23819;https://comptox.epa.gov/dashboard/chemical-lists?search=NORMAN
FAQ042,en,faq,TRUE,4,Data & identifiers,●,5,What is stored,What information is in a list entry?,What information is in a list entry?,What information can a single suspect list entry contain?,"Typically identifiers (name, structure), database IDs, and sometimes masses/formulae plus list-specific annotations.","A suspect list entry can include: chemical name and synonyms; structural identifiers (SMILES, InChI, InChIKey); database IDs (CAS, DTXSID, PubChem CID, etc.); and screening-relevant fields like molecular formula and neutral monoisotopic mass. Some lists add context-specific annotations.",explain,entry fields; name; synonyms; structure; database IDs; formula; monoisotopic mass,medium,List files,https://www.norman-network.com/nds/SLE/
FAQ043,en,faq,TRUE,9,Troubleshooting,⚙,6,Mixtures & UVCBs,How are mixtures handled?,How are mixtures handled?,"How does NORMAN‑SLE handle mixtures, isomeric blends, or UVCB substances?",They can be included but may lack unique structural identifiers; full solutions for mixtures/UVCBs remain an active challenge.,"Mixtures and UVCBs can be represented in suspect lists, but they often lack a single defined structure and thus cannot always be assigned InChI/InChIKeys or PubChem CIDs. Handling such content remains a known challenge in cheminformatics, and SLE often preserves the information as provided (e.g., formulas or class descriptors) while supporting future improvements.",explain,mixtures; UVCB; isomeric mix; no InChIKey; cheminformatics limitation,medium,List files; PubChem,https://www.norman-network.com/nds/SLE/
FAQ044,en,faq,TRUE,2,Using the website,◼,5,References,Why references matter,Why references matter,Why does each suspect list include references?,"References explain provenance and rationale, enable correct interpretation, and give credit to contributors.","References help users understand where the list came from, why it was created, and how it should be used. They also provide proper credit to contributors and allow users to trace the scientific rationale behind the list content.",explain,references; provenance; rationale; credit; contributors,low,Website; Zenodo,https://www.norman-network.com/nds/SLE/;https://zenodo.org/communities/norman-sle/
FAQ045,en,faq,TRUE,7,Contributing lists,✚,6,Feedback,Can I send feedback?,Can I send feedback?,Can I send feedback or suggestions about NORMAN‑SLE lists and features?,Yes. The project welcomes ideas and feedback; contact details are provided on the NORMAN‑SLE website.,"Yes—NORMAN‑SLE welcomes new submissions and feedback, including suggestions for improvements, corrections, and ideas for new features or workflows. Use the contact information on the NORMAN‑SLE website to reach the maintainers.",how_to,feedback; suggestions; contact; improvements,medium,Website,https://www.norman-network.com/nds/SLE/
